id,Number,sentiment,text
30,4730,1,"pycaffe slowing cpu gpu mode . im attempting use caffe python real time image classification. im using opencv stream webcam one process, separate process, using caffe perform image classification frames pulled webcam. then im passing result classification back main thread caption webcam stream. the problem even though i nvidia gpu performing caffe predictions gpu, main thread gets slown down. normally without predictions, webcam stream runs 30 fps however, predictions, webcam stream gets best 15 fps. i ve verified caffe indeed using gpu performing predictions, gpu gpu memory maxing out. i ve also verified cpu cores getting maxed point program. im wondering i something wrong way keep 2 processes truly separate. or fact bug caffe gpu mode. any advice appreciated. here code reference i pretty sure caffe prediction slowing everything down, i comment prediction pass dummy text back forth processes, i get 30 fps again. def init (self, task queue, result queue ) multiprocessing.process. init (self ) self.task queue task queue self.result queue result queue other initialization stuff def run(self ) caffe.set mode gpu( ) caffe.set device(0 ) load caffe net code omitted true image self.task queue.get( ) crop image code omitted text net.predict(image ) text dummy text self.result queue.put(text ) return import cv2 import caffe import multiprocessing import queue tasks multiprocessing.queue( ) results multiprocessing.queue( ) consumer consumer(tasks,results ) consumer.start( ) creating window starting video capturer camera cv2.namedwindow( preview ) vc cv2.videocapture(0 ) try get first frame vc.isopened( ) rval, frame vc.read( ) else rval false frame copy frame rval tasks.empty( ) tasks.put(frame copy ) else text tasks.get( ) add text frame cv2.puttext(frame,text ) showing frame applied modifications cv2.imshow( preview , frame ) getting next frame camera rval, frame vc.read( ) frame copy frame getting keyboard input key cv2.waitkey(1 ) exit esc key 27 break `"
168,3110,0,"data accessing based key value caffe db. hello everyone, i saved features caffe db (database type matter ) number images, features image saved different key. while retrieving features database, i able get data sequentially, i wondering method randomly access data corresponding specific key. i looked source code caffe db caffe db cursor, find method random access database entries. the cursor placed either first entry database, next. should method one access database entries key ? ? thanks!"
106,2015,0,"in place computation break gradient computation. for instance, mvnlayer reads data top blob backward pass, assumption data exactly output created. if modified later layer in place computation, gradient computed incorrectly. in general, caffe rely user know circumstances layer safely done in place."
251,2819,0,"pythonpath import caffe module. in tutorial written the module dir caffe python caffe installed pythonpath import caffe . however, path added, number errors appear ipython initialization due confusion internal io.py file. it seems like actual path caffe python , case initialization works well, caffe module correctly found."
68,5867,0,"crash amdocl64.dll caffe calls clbuildprogram. i ve compiled opencl caffe branch windows using scripts build win.cmd. when running classification example i get crash caffe tries build cl program e work projects visualstudio viennacl dev viennacl dev viennacl ocl context.hpp 438 (!temp ) temp clcreateprogramwithsource(h .get( ) , 1, (const char ) source text, source size, err ) viennacl err check(err ) const char options build options .c str( ) err clbuildprogram(temp, 0, null, options, null, null ) variables source size 337011 unsigned int64 source text source text.cl.txt (https github.com bvlc caffe files 1244442 source text.cl.txt ) callstack classification d.exe!viennacl ocl context add program(const std basic string,std allocator source, const std basic string,std allocator prog name ) line 438 c classification d.exe!caffe registerkernels(viennacl ocl context ctx ) line 5262 c classification d.exe!caffe device setprogram( ) line 286 c classification d.exe!caffe device init( ) line 67 c classification d.exe!caffe caffe setdevices(std vector device ids ) line 531 c classification d.exe!classifier classifier(const std basic string,std allocator model file, const std basic string,std allocator trained file, const std basic string,std allocator mean file, const std basic string,std allocator label file ) line 72 c classification d.exe!main(int argc, char argv ) line 269 c i trying run caffe amd r9 270x gpu using opencl crashes c windows system32 amdocl64.dll. if i switch using opencl device (intel cpu ) compiles successfully. to honest i m sure reported amd support ? my machine specs windows 10 64 bit amd radeon r9 200 series latest drivers (17.7.2 ) opencl version 22.19.662.4 reproducible i ve also reproduced issue loading generated cl program amd app sdk 2.9.1 helloworld.cpp example. i ve made local modifications i think cause change behaviour diff git a scripts build win.cmd b scripts build win.cmd index f90306e3..49176291 100755 a scripts build win.cmd b scripts build win.cmd 68,7 68,7 defined appveyor ( ) else ( change settings match setup change msvc version 12 use vs 2013 if not defined msvc version set msvc version 14 if not defined msvc version set msvc version 12 change 1 use ninja generator (builds much faster ) not defined with ninja set with ninja 0 change 1 build caffe without cuda support 85,8 85,8 defined appveyor ( change 3 using python 3.5 (only 2.7 3.5 supported ) not defined python version set python version 2 change options needs. if not defined build python set build python 1 if not defined build python layer set build python layer 1 if not defined build python set build python 0 if not defined build python layer set build python layer 0 not defined build matlab set build matlab 0 if python path leave alone not defined python exe set python exe python diff git a src caffe layers libdnn conv layer.cpp b src caffe layers libdnn conv layer.cpp index 451f1ef8..600bb6a8 100644 a src caffe layers libdnn conv layer.cpp b src caffe layers libdnn conv layer.cpp 63,7 63,7 void libdnnconvolutionlayer reshape( config.bias term this bias term config.fast unsafe math true config.weights backward this param propagate down 0 config.bias backward this param propagate down 1 config.bias backward this bias term ? this param propagate down 1 false ((std is same value diff git a src caffe layers libdnn deconv layer.cpp b src caffe layers libdnn deconv layer.cpp index aacde554..0bc49ca7 100644 a src caffe layers libdnn deconv layer.cpp b src caffe layers libdnn deconv layer.cpp 59,7 59,7 void libdnndeconvolutionlayer reshape( config.bias term this bias term config.fast unsafe math true config.weights backward this param propagate down 0 config.bias backward this param propagate down 1 config.bias backward this bias term ? this param propagate down 1 false atomic algorithm requirements float 32 bit atomics available"
21,4950,1,"zero accuracy, loss decreasing layers value different inputs. issue summary tried ask googlegroup, get response i post here! i 50x50 image generated 1x2500 vector i generated hdf5 file images feed caffenet. my labels range 0 255, i expecting 256 different classes. below network prototxt solver. layer name data type hdf5data top x top y hdf5 data param source path to trainh5list.txt batch size 1 include phase train layer name data type hdf5data top x top y hdf5 data param source path to testh5list.txt batch size 1 include phase test .... layer name accuracy type accuracy bottom fc8 bottom y top accuracy include phase test layer name loss type softmaxwithloss bottom fc8 bottom y top loss solver net path to train ntk.prototxt test iter 20 test interval 1000 base lr 0.001 lr policy step gamma 0.1 stepsize 10000 display 1000 max iter 80000 momentum 0.9 weight decay 0.0005 snapshot 40000 snapshot prefix path to model solver mode gpu debug info true while training debug mode, 1. the accuracy layer zero output time. 2. the fully connected layers seems result inputs. 3. the loss decrease training goes on, swings random value. i tried different batch size learning rate, i seem get fixed. i also tried changing data layer imagedata layer, solve issue. what i different fix issue ? here training log i1103 12 01 41.822055 108615 solver.cpp 337 iteration 0, testing net ( 0 ) i1103 12 01 41.849742 108615 solver.cpp 404 test net output 0 accuracy 0 i1103 12 01 41.849761 108615 solver.cpp 404 test net output 1 loss 6.02617 ( 1 6.02617 loss ) i1103 12 01 41.869380 108615 solver.cpp 228 iteration 0, loss 6.05644 i1103 12 01 41.869398 108615 solver.cpp 244 train net output 0 loss 6.05644 ( 1 6.05644 loss ) i1103 12 01 41.869413 108615 sgd solver.cpp 106 iteration 0, lr 0.1 i1103 12 01 47.624855 108615 solver.cpp 228 iteration 500, loss 87.3365 i1103 12 01 47.624876 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 01 47.624882 108615 sgd solver.cpp 106 iteration 500, lr 0.1 i1103 12 01 53.290213 108615 solver.cpp 337 iteration 1000, testing net ( 0 ) i1103 12 01 53.299310 108615 solver.cpp 404 test net output 0 accuracy 0 i1103 12 01 53.299327 108615 solver.cpp 404 test net output 1 loss 87.3365 ( 1 87.3365 loss ) i1103 12 01 53.314584 108615 solver.cpp 228 iteration 1000, loss 87.3365 i1103 12 01 53.314615 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 01 53.314621 108615 sgd solver.cpp 106 iteration 1000, lr 0.01 i1103 12 01 58.991268 108615 solver.cpp 228 iteration 1500, loss 87.3365 i1103 12 01 58.991315 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 01 58.991322 108615 sgd solver.cpp 106 iteration 1500, lr 0.01 i1103 12 02 04.664419 108615 solver.cpp 337 iteration 2000, testing net ( 0 ) i1103 12 02 04.673518 108615 solver.cpp 404 test net output 0 accuracy 0 i1103 12 02 04.673537 108615 solver.cpp 404 test net output 1 loss 87.3365 ( 1 87.3365 loss ) i1103 12 02 04.690434 108615 solver.cpp 228 iteration 2000, loss 87.3365 i1103 12 02 04.690469 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 02 04.690481 108615 sgd solver.cpp 106 iteration 2000, lr 0.001 i1103 12 02 10.373788 108615 solver.cpp 228 iteration 2500, loss 87.3365 i1103 12 02 10.373852 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 02 10.373859 108615 sgd solver.cpp 106 iteration 2500, lr 0.001 i1103 12 02 16.047372 108615 solver.cpp 337 iteration 3000, testing net ( 0 ) i1103 12 02 16.056390 108615 solver.cpp 404 test net output 0 accuracy 0 i1103 12 02 16.056407 108615 solver.cpp 404 test net output 1 loss 87.3365 ( 1 87.3365 loss ) i1103 12 02 16.070235 108615 solver.cpp 228 iteration 3000, loss 87.3365 i1103 12 02 16.070261 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 02 16.070267 108615 sgd solver.cpp 106 iteration 3000, lr 0.0001 i1103 12 02 21.755348 108615 solver.cpp 228 iteration 3500, loss 87.3365 i1103 12 02 21.755369 108615 solver.cpp 244 train net output 0 loss 87.3365 ( 1 87.3365 loss ) i1103 12 02 21.755375 108615 sgd solver.cpp 106 iteration 3500, lr 0.0001"
0,3075,1,"strange result running blvc reference caffenet model. hi, i tried run example here https github.com bvlc caffe blob master examples 00 classification.ipynb, find result quite different notebook s description, here result predicted class 48281. and example says predicted class 281. does anyone know different ? btw, first i think might category 48 category 281, im sure not, since i check data ilsvrc12 synset words.txt think unrelated. i done several times newest caffe repos download models readme s url http dl.caffe.berkeleyvision.org bvlc reference caffenet.caffemodel (http dl.caffe.berkeleyvision.org bvlc reference caffenet.caffemodel ) , i tried download(model zoo ) . scripts download model binary.py models bvlc reference caffenet slow i test model, i wonder maybe model previous url. any suggestions much appreciated, thanks."
28,6256,1,"training googlenet scratch got low accuracy. hi, when i use models bvlc googlenet train val.prototxt solver.prototxt train googlenet scratch imagenet, i got accuracy 59 top 1 83 top 5 max iteration (10000000 ) . however, googlenet claimed achieve 68.9 89.04 . what accuracy get ? should i modifications prototxt files ? thanks!"
214,188,0,"examples unsupervised feature learning ? . e.g. auto encoder, predictive sparse decomposition. they would insightful newbie. thanks."
128,5641,0,"verion. https github.com bvlc caffe search ? utf8 e2 9c 93 q verion type version, it ?"
170,5379,0,"feature extraction net (core dumped ) error. please use caffe users list (https groups.google.com forum !forum caffe users ) usage, installation, modeling questions, requests help. do post requests issues. doing interferes development caffe. please read guidelines contributing (https github.com bvlc caffe blob master contributing.md ) submitting issue. issue summary in .cpp file, invoked feature extraction net(proto, caffe phase test ) proto full path proto file. however, ends error following i0303 20 38 16.966768 11556 net.cpp 110 creating layer volleyball level2 i0303 20 38 16.966792 11556 net.cpp 433 volleyball level2 data i0303 20 38 16.966830 11556 net.cpp 433 volleyball level2 label f0303 20 38 16.970520 11581 db leveldb.cpp 16 check failed status.ok( ) failed open leveldb examples deep activity rec ibrahim16 cvpr p4 network2 trainval leveldb invalid argument examples deep activity rec ibrahim16 cvpr p4 network2 trainval leveldb exist (create if missing false ) check failure stack trace 0x7f4c1d646daa (unknown ) 0x7f4c1d646ce4 (unknown ) 0x7f4c1d6466e6 (unknown ) 0x7f4c1d649687 (unknown ) 0x7f4c1dd62d07 caffe db leveldb open( ) 0x7f4c1dd16463 caffe datareader body internalthreadentry( ) 0x7f4c1dd7fcc5 caffe internalthread entry( ) 0x7f4c118b7a4a (unknown ) 0x7f4c0fb87184 start thread 0x7f4c1c47137d (unknown ) (nil ) (unknown ) aborted (core dumped ) we notice others asked similar question (feature extractor error 3505 ) . steps reproduce if difficulty building caffe training model, please ask caffe users mailing list. if reporting build error seems due bug caffe, please attach build configuration (either makefile.config cmakecache.txt ) output make (or cmake ) command. your system configuration operating system ubuntu 14.04 (64bit ) compiler gcc cuda version (if applicable ) cuda8.0 cudnn version (if applicable ) blas atlas python matlab version (for pycaffe matcaffe respectively ) python 2.7"
197,284,0,"non square inputs tested supported ? . has system tested inputs unequal width height ? if i use provided datalayer mirroring cropping disabled portrait inputs, first convolution layer quickly tends towards (usually within first 500 iterations ) set filters horizontal bands. sometimes loss goes nan (and many parameters first convolution layer gone nan ) . i wrote separate data layer replaces cropsize crop height crop width i could manually specify rectangular crop. i ve tried setting crop height crop width far issue shown up, i spent much time training (but still much longer rectangular cases ) . if i set aspect ratio something 1, bands appear width seems depend aspect ratio crop. im using imagenet architecture applied different dataset. the inputs leveldb 264x105x3 cropped inputs network 220x88x3. the issue reproducible solver mode 0 1."
7,3239,1,"cudnn v3 much slower v2. running model dataset, latest master v3 took 25 minutes finish 1000 iterations v2 took 10 minutes. the kernels first three convolutional layers 9, 7 5 pixels. this problem also reported fork caffe (https github.com happynear caffe windows issues 24 ) many sources (https www.google.co.in ? gws rd ssl newwindow 1 q cudnn v3 slower ) . maybe cudnn v3 works well maxwell architecture gpus cant choose efficient convolution algorithm. the simplest solution revert older version caffe since v2 longer supported (https github.com bvlc caffe pull 3218 ) nvidia fix problem. but still want keep caffe date experiment new features batch normalization. the second way specify convolution algorithm explicitly flexible enough various model configurations. the last resort keep backwards compatibility cudnn v2 caffe."
222,5077,0,"make runtest failed. i following error running make runtest. i tried cpu flag enabled disabled both, error."
24,2783,1,"caffe inconsistency activation feature values gpu mode. hi i using caffe ubuntu 14.04 cuda version 7.0 cudnn version 2 gpu nvidia gt 730 in caffe first i get initialization done i load imagenet model (alexnet ) . i also initialize gpu using set mode gpu( ) after i take image. lets call image x. i copy image onto caffe source blob. then i perform forward pass image using net.forward(end fc7 ) then i extract 4096 dimensional fc7 output.(the activation features fc7 layer ) the problem i facing i run code multiple times, everytime i obtain different result. that is, gpu mode, everytime activation features different image. when i using forward pass, function network supposed deterministic right ? so i get output everytime image. on hand, i run caffe cpu using set mode cpu( ) everything works perfectly, i.e, i get output time the code used outputs obtained shown below. i able understand problem is. is problem caused due gpu rounding ? but errors large. or due issues latest cudnn version ? or something else altogether ? following code 1 ) import libraries 2 ) import caffe models define utility functions 3 ) loading image setting constants 4 ) setting source image making forward pass obtain fc7 activation features following output i obtained print dst.data i ran code multiple times output 1st execution code output 2nd execution code output 3rd execution code output 4th execution code"
257,4130,0,"return test accuracy training python. hi, im using python interface. there seems way returning test accuracy training test net specified. the accuracies printed out. is correct ?"
209,2792,0,"cuda compilation issue macbook. i installing caffe mac book. i able get compile run cpu mode, cannot get compile gpu. i followed installation instructions (http caffe.berkeleyvision.org installation.html ) sure next. this mac book pro running os x 10.10.4. the graphics card intel iris pro gpu. i using python anaconda distribution. i installed dependencies outlined os x installation page (http caffe.berkeleyvision.org install osx.html ) via homebrew. i installed cuda 7 mac os cuda website (https developer.nvidia.com cuda downloads ) . the cuda tools installed beneath usr local cuda. i cloned caffe distribution https github.com bvlc caffe. i commit 247d6d66 july 15, 2015. in makefile.config i uncommented python anaconda include lines otherwise left things same. make clean make builds lot .cpp files fails first time tries use nvcc compiler sp counted base clang.hpp looks fine me. line 27 first line neither include namespace statement. the two includes preceding maybe something wrong boost configuration, although i able install boost via homebrew without problem. if i uncomment cpu only 1 makefile.config another clean build, i get compiler errors. (when i try run tests i problem described issue https github.com bvlc caffe issues 1737. i work around soft linking libhdf58 libraries libhdf9 specifying hdf5 headers usr local include common flags makefile. i think related cuda compilation issue. ) do ideas cuda code compiling me ?"
146,1967,0,"issue pycaffe. hi, all, i followed install steps page, caffe library run successfully, fpycaffeor , i came across following issue. did someone come across issue fix it ? thx! my system ubuntu 12.04 64bit, i installed anacorda, set pythonpath as export pythonpath caffe root python pythonpath root milton desktop python downloads caffe public bvlc googlenet python classify.py traceback (most recent call last ) file root downloads caffe public bvlc googlenet python classify.py , line 14, import caffe file root downloads caffe public bvlc googlenet python caffe init .py , line 1, .pycaffe import net, sgdsolver file root downloads caffe public bvlc googlenet python caffe pycaffe.py , line 10, . caffe import net, sgdsolver importerror root anaconda bin .. lib libm.so.6 version `glibc 2.15 found (required usr lib libopencv core.so.2.3 ) root milton desktop"
255,608,0,"does caffe use stochastic gradient descent. hi, i wondering caffe use stochastic gradient descent ? that means update weights batch, every iteration batch size times updates. or updates weights iteration, batches iteration share parameters ? i assumed caffe uses stochastic gradient descent, tried find code part .cpp got nothing. i increased decreased batch size, expected different performance iterations, since small batch size means updates, i got similar results! could someone tell it ?"
142,151,0,"assemble docs examples gh pages wiki docs directory. it s frustrating write docs, one needs switch gh pages branch (or separate filesystem folder branch checked out ) . we propose docs markdown format new docs directory, script push contents gh pages. after done, disable github wiki."
